#
# $Id: adxectivos.txt,v 1.4 2007/10/03 07:03:01 fmendez Exp $
# $Name:  $
#	
aaronita,M,S
acerina,F,S,acerino
acerinas,F,P,acerino
acerino,M,S,acerino
acerinos,M,P,acerino
acertada,F,S
acertadas,F,P,acertada
acertado,M,S
acertador,M,S,acertador
acertadora,F,S,acertador
acertadoras,F,P,acertador
acertadores,M,P,acertador
acertados,M,P,acertado
acertajona,F,S,acertajón
acertajonas,F,P,acertajón
acertajones,M,P,acertajón
acertajón,M,S,acertajón
acerácea,F,S,aceráceo
aceráceas,F,P,aceráceo
aceráceo,M,S,aceráceo
aceráceos,M,P,aceráceo
acerínea,F,S,aceríneo
aceríneas,F,P,aceríneo
aceríneo,M,S,aceríneo
aceríneos,M,P,aceríneo
acescente,A,S
acescentes,A,P,acescente
aceta,F,S,aceto
acetas,F,P,aceto
aceto,M,S,aceto
acetos,M,P,aceto
acetosa,F,S,acetoso
acetosas,F,P,acetoso
acetoso,M,S,acetoso
acetosos,M,P,acetoso
acezante,A,S
acezantes,A,P,acezante
acezosa,F,S,acezoso
acezosas,F,P,acezoso
acezoso,M,S,acezoso
acezosos,M,P,acezoso
achacable,A,S,achacable
achacables,A,P,achacable
achacosa,F,S,achacoso
achacosas,F,P,achacoso
achacoso,M,S,achacoso
achacosos,M,P,achacoso
achajuanada,F,S,achajuanado
achajuanadas,F,P,achajuanado
achajuanado,M,S,achajuanado
achajuanados,M,P,achajuanado
achambergada,F,S,achambergado
achambergadas,F,P,achambergado
achambergado,M,S,achambergado
achambergados,M,P,achambergado
achampanada,F,S,achampanado
achampanadas,F,P,achampanado
achampanado,M,S,achampanado
achampanados,M,P,achampanado
achampañada,F,S,achampañado
achampañadas,F,P,achampañado
achampañado,M,S,achampañado
